c cmd: /host-parser-bin/kat_xcsp_bd3c9f7d_scip_dynamic /bench/competition/2022-2025/COP22to25/SchedulingOS-gp-05-01_c25.xml.lzma --encoder order-ge --order-ge-table mdd-tl --order-ge-eq-ne direct-order --order-ge-direct-eq-ne-max-arity 2 --progress
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=70
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=16 pruned=0 changed_domains=0 entailed_tables=0
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=70
c 00h00m00s | stage:lower:start
c 00h00m00s | stage:lower:done ms=1 lowered=70 unsupported=0
c 00h00m00s | stage:post_lower:start
c 00h00m00s | stage:post_lower:done ms=0 rounds=25 tightened=40 removed_cls=0 removed_lits=0 unsat=false precise_hits=0 precise_rounds=0 pivot_recomputes=115 pivot_exact_attempts=0 pivot_general_attempts=115 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=95 pivot_general_tightened=20 setup_ms=0 loop_ms=0 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=0 sat_ms=0 precise_ms=0
c 00h00m00s | stage:lowered-shape int_vars=100 bool_vars=100 linear_atoms=375 table_atoms=25 table_tuples=125 table_scope=50 alldiff_atoms=5 circuit_atoms=0 product_atoms=0 logical_clauses=330
c 00h00m00s | stage:root-lp:start backend=scip-ffi
c 00h00m00s | stage:root-lp:bound backend=scip-ffi status=optimal objective_value=1000 naive_bounds=[1,5932] lp_bounds=[1000,5932] improved=1 rows=256 vars=331 ms=21
c 00h00m00s | stage:preencode(order-ge):start
c 00h00m00s | stage:preencode(order-ge):done ms=0 int_vars=100
c 00h00m00s | stage:encode(order-ge):start
c 00h00m01s | stage:encode(order-ge):done ms=1235 sat_vars=497151 sat_clauses=3169137 ext_ge_specs=0 relaxed_circuits=0
c 00h00m01s | stage:sat:init solver=CaDiCaL vars=497151 clauses=3169137
c 00h00m01s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=1 assumptions=0 phase_lits=0
c 00h00m05s | stage:sat:solve:done round=1 ms=3765 result=Sat assumptions=0 phase_lits=0
c 00h00m05s | stage:decode:start round=1 requested_int_ids=100
c 00h00m05s | stage:decode:final:start round=1 requested_int_ids=100
c 00h00m05s | stage:decode:done round=1 int_assignments=100
c 00h00m05s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=0 cop_cegar_rounds=1 cop_cegar_added_clauses=0
c 00h00m05s | result:Sat
c 00h00m05s | objective:incumbent kind=initial value=4538 rounds=1 improvements=0
o 4538
c 00h00m05s | stage:sat:init solver=CaDiCaL vars=497151 clauses=3169137
c 00h00m05s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=2 assumptions=0 phase_lits=248288
c 00h00m05s | stage:sat:solve:done round=1 ms=147 result=Sat assumptions=0 phase_lits=248288
c 00h00m05s | stage:decode:start round=1 requested_int_ids=100
c 00h00m05s | stage:relaxation:done round=1 clauses_added=676300 circuit_clauses_added=0 cop_clauses_added=676300 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=1 cop_cegar_rounds=2 cop_cegar_added_clauses=676300
c 00h00m05s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=3 assumptions=0 phase_lits=248288
c 00h00m16s | stage:sat:solve:done round=2 ms=11084 result=Sat assumptions=0 phase_lits=248288
c 00h00m16s | stage:decode:start round=2 requested_int_ids=100
c 00h00m16s | stage:decode:final:start round=2 requested_int_ids=100
c 00h00m16s | stage:decode:done round=2 int_assignments=100
c 00h00m16s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=1 cop_cegar_rounds=3 cop_cegar_added_clauses=676300
c 00h00m16s | result:Sat
c 00h00m16s | objective:incumbent kind=improvement value=4537 rounds=2 improvements=1
o 4537
c 00h00m16s | stage:sat:init solver=CaDiCaL vars=497151 clauses=3169137
c 00h00m16s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=4 assumptions=0 phase_lits=248288
c 00h00m18s | stage:sat:solve:done round=1 ms=1589 result=Sat assumptions=0 phase_lits=248288
c 00h00m18s | stage:decode:start round=1 requested_int_ids=100
