c cmd: /host-parser-bin/kat_xcsp_b85de3f1_dirty_memoryguard_20260521 /bench/competition/2022-2025/COP22to25/HCPizza-12-12-2-6-01_c23.xml.lzma --encoder order-ge --order-ge-eq-ne direct-order --order-ge-table mdd-tl --memory-guard-gib 64 --memory-guard-fallback extprop --cop-pipeline guarded-basic --cop-objective-cut direct-expr --progress
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=763
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=3 pruned=0 changed_domains=0 entailed_tables=0
c 00h00m00s | memory:rss checkpoint=after_propagate bytes=5877760
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=763
c 00h00m00s | stage:lower:start
c 00h00m00s | stage:lower:done ms=51 lowered=763 unsupported=0
c 00h00m00s | memory:rss checkpoint=after_lower bytes=6148096
c 00h00m00s | stage:post_lower:start
c 00h00m00s | stage:post_lower:done ms=14 rounds=0 tightened=0 removed_cls=0 removed_lits=0 unsat=false precise_hits=0 precise_rounds=1 pivot_recomputes=0 pivot_exact_attempts=0 pivot_general_attempts=0 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=0 pivot_general_tightened=0 setup_ms=12 loop_ms=0 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=0 sat_ms=0 precise_ms=1
c 00h00m00s | memory:rss checkpoint=after_post_lower bytes=15278080
c 00h00m00s | stage:lowered-shape int_vars=1915 bool_vars=0 linear_atoms=145 table_atoms=618 table_tuples=1236 table_scope=1236 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=763
c 00h00m00s | stage:root-lp:start backend=native-simplex
c 00h00m04s | stage:root-lp:bound backend=native-simplex status=optimal objective_value=144.0000000000002 naive_bounds=[0,144] lp_bounds=[0,144] improved=0 rows=1999 vars=3151 ms=4020
c 00h00m04s | memory:rss checkpoint=before_preencode bytes=69562368
c 00h00m04s | stage:preencode(order-ge):start
c 00h00m04s | stage:preencode(order-ge):done ms=11 int_vars=2782
c 00h00m04s | memory:rss checkpoint=after_preencode bytes=69718016
c 00h00m04s | memory:guard limit_bytes=68719476736 rss_bytes=69718016 reserve_bytes=10737418240 available_bytes=57912340480 fallback=extprop
c 00h00m04s | memory:rss checkpoint=before_encode bytes=69718016
c 00h00m04s | stage:encode(order-ge):start
c 00h00m04s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=1000000 bytes=129949696 interval_clauses=1000000
c 00h00m04s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=2000000 bytes=230711296 interval_clauses=1000000
c 00h00m05s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=3000000 bytes=333295616 interval_clauses=1000000
c 00h00m05s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=4000000 bytes=441176064 interval_clauses=1000000
c 00h00m05s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=5000000 bytes=544919552 interval_clauses=1000000
c 00h00m05s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=6000000 bytes=617230336 interval_clauses=1000000
c 00h00m06s | memory:rss checkpoint=encode_clause_sample stage=order-ge clauses=7000000 bytes=695328768 interval_clauses=1000000
c 00h00m06s | stage:encode(order-ge):done ms=2371 sat_vars=47577 sat_clauses=7843382 ext_ge_specs=0 relaxed_circuits=0
c 00h00m06s | stage:sat:init solver=CaDiCaL vars=47577 clauses=7843382
c 00h00m06s | stage:sat:solve:start assumptions=0 phase_lits=0
c 00h00m07s | stage:sat:solve:done ms=925 result=Sat assumptions=0 phase_lits=0
c 00h00m07s | stage:decode:start
c 00h00m07s | stage:decode:done int_assignments=1915
c 00h00m07s | result:Sat
c 00h00m07s | objective:incumbent kind=initial value=106 rounds=1 improvements=0
