c cmd: /host-parser-bin/kat_xcsp_bd3c9f7d_scip_dynamic /bench/competition/2022-2025/COP22to25/Pyramid-12-10000_c24.xml.lzma --encoder log-scop --order-ge-table mdd-tl --progress
c 00h00m00s | solve:start
c 00h00m00s | input: constraints=68
c 00h00m00s | stage:propagate:start
c 00h00m00s | stage:propagate:done ms=0 pruned=1 changed_domains=1 entailed_tables=0
c 00h00m00s | stage:normalize:start
c 00h00m00s | stage:normalize:done ms=0 high_constraints=68
c 00h00m00s | stage:lower:start
c 00h00m00s | stage:lower:done ms=3 lowered=68 unsupported=0
c 00h00m00s | stage:post_lower:start
c 00h00m00s | stage:post_lower:done ms=0 rounds=0 tightened=0 removed_cls=1 removed_lits=0 unsat=false precise_hits=0 precise_rounds=1 pivot_recomputes=0 pivot_exact_attempts=0 pivot_general_attempts=0 pivot_general_rest_missing=0 pivot_general_bound_missing=0 pivot_general_no_change=0 pivot_general_tightened=0 setup_ms=0 loop_ms=0 pivot_ms=0 pivot_version_ms=0 pivot_exact_ms=0 pivot_general_ms=0 pivot_general_prepare_ms=0 pivot_general_rest_ms=0 pivot_general_derive_ms=0 apply_ms=0 sat_ms=0 precise_ms=0
c 00h00m00s | stage:lowered-shape int_vars=144 bool_vars=0 linear_atoms=3226 table_atoms=0 table_tuples=0 table_scope=0 alldiff_atoms=0 circuit_atoms=0 product_atoms=0 logical_clauses=3071
c 00h00m00s | stage:root-lp:start backend=scip-ffi
c 00h00m00s | stage:root-lp:bound backend=scip-ffi status=optimal objective_value=6.493975903614457 naive_bounds=[0,10000] lp_bounds=[7,10000] improved=1 rows=68 vars=144 ms=16
c 00h00m00s | stage:preencode(log-scop):start
c 00h00m00s | stage:preencode(log-scop):done ms=0 int_vars=144
c 00h00m00s | stage:encode(log-scop):start
c 00h00m00s | stage:encode(log-scop):done ms=273 sat_vars=275648 sat_clauses=629913 ext_ge_specs=0 relaxed_circuits=0 log_scop_pb_constraints=6438 log_scop_pb_mixed=0 log_scop_pb_bdd2=0 log_scop_pb_bdd3=6438 log_scop_pb_sorter=0 log_scop_pb_dadda=0 log_scop_bdd_raw=6438 log_scop_bdd_binary=0 log_scop_bdd_multibase=0
c 00h00m00s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m00s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=1 assumptions=0 phase_lits=0
c 00h00m29s | stage:sat:solve:done round=1 ms=28740 result=Sat assumptions=0 phase_lits=0
c 00h00m29s | stage:decode:start round=1 requested_int_ids=144
c 00h00m29s | stage:decode:final:start round=1 requested_int_ids=144
c 00h00m29s | stage:decode:done round=1 int_assignments=144
c 00h00m29s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=0 cop_cegar_rounds=1 cop_cegar_added_clauses=0
c 00h00m29s | result:Sat
c 00h00m29s | objective:incumbent kind=initial value=10000 rounds=1 improvements=0
o 10000
c 00h00m29s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m29s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=2 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=1 ms=36 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=1 requested_int_ids=144
c 00h00m29s | stage:relaxation:done round=1 clauses_added=4818 circuit_clauses_added=0 cop_clauses_added=4818 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=1 cop_cegar_rounds=2 cop_cegar_added_clauses=4818
c 00h00m29s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=3 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=2 ms=380 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=2 requested_int_ids=144
c 00h00m29s | stage:decode:final:start round=2 requested_int_ids=144
c 00h00m29s | stage:decode:done round=2 int_assignments=144
c 00h00m29s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=1 cop_cegar_rounds=3 cop_cegar_added_clauses=4818
c 00h00m29s | result:Sat
c 00h00m29s | objective:incumbent kind=improvement value=9995 rounds=2 improvements=1
o 9995
c 00h00m29s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m29s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=4 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=1 ms=8 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=1 requested_int_ids=144
c 00h00m29s | stage:relaxation:done round=1 clauses_added=4810 circuit_clauses_added=0 cop_clauses_added=4810 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=2 cop_cegar_rounds=4 cop_cegar_added_clauses=9628
c 00h00m29s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=5 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=2 ms=215 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=2 requested_int_ids=144
c 00h00m29s | stage:decode:final:start round=2 requested_int_ids=144
c 00h00m29s | stage:decode:done round=2 int_assignments=144
c 00h00m29s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=2 cop_cegar_rounds=5 cop_cegar_added_clauses=9628
c 00h00m29s | result:Sat
c 00h00m29s | objective:incumbent kind=improvement value=9994 rounds=3 improvements=2
o 9994
c 00h00m29s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m29s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=6 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=1 ms=8 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=1 requested_int_ids=144
c 00h00m29s | stage:relaxation:done round=1 clauses_added=4818 circuit_clauses_added=0 cop_clauses_added=4818 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=3 cop_cegar_rounds=6 cop_cegar_added_clauses=14446
c 00h00m29s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=7 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=2 ms=151 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=2 requested_int_ids=144
c 00h00m29s | stage:decode:final:start round=2 requested_int_ids=144
c 00h00m29s | stage:decode:done round=2 int_assignments=144
c 00h00m29s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=3 cop_cegar_rounds=7 cop_cegar_added_clauses=14446
c 00h00m29s | result:Sat
c 00h00m29s | objective:incumbent kind=improvement value=9992 rounds=4 improvements=3
o 9992
c 00h00m29s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m29s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=8 assumptions=0 phase_lits=2016
c 00h00m29s | stage:sat:solve:done round=1 ms=7 result=Sat assumptions=0 phase_lits=2016
c 00h00m29s | stage:decode:start round=1 requested_int_ids=144
c 00h00m29s | stage:relaxation:done round=1 clauses_added=4822 circuit_clauses_added=0 cop_clauses_added=4822 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=4 cop_cegar_rounds=8 cop_cegar_added_clauses=19268
c 00h00m29s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=9 assumptions=0 phase_lits=2016
c 00h00m30s | stage:sat:solve:done round=2 ms=256 result=Sat assumptions=0 phase_lits=2016
c 00h00m30s | stage:decode:start round=2 requested_int_ids=144
c 00h00m30s | stage:decode:final:start round=2 requested_int_ids=144
c 00h00m30s | stage:decode:done round=2 int_assignments=144
c 00h00m30s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=4 cop_cegar_rounds=9 cop_cegar_added_clauses=19268
c 00h00m30s | result:Sat
c 00h00m30s | objective:incumbent kind=improvement value=9984 rounds=5 improvements=4
o 9984
c 00h00m30s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m30s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=10 assumptions=0 phase_lits=2016
c 00h00m30s | stage:sat:solve:done round=1 ms=9 result=Sat assumptions=0 phase_lits=2016
c 00h00m30s | stage:decode:start round=1 requested_int_ids=144
c 00h00m30s | stage:relaxation:done round=1 clauses_added=4806 circuit_clauses_added=0 cop_clauses_added=4806 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=5 cop_cegar_rounds=10 cop_cegar_added_clauses=24074
c 00h00m30s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=11 assumptions=0 phase_lits=2016
c 00h00m31s | stage:sat:solve:done round=2 ms=825 result=Sat assumptions=0 phase_lits=2016
c 00h00m31s | stage:decode:start round=2 requested_int_ids=144
c 00h00m31s | stage:decode:final:start round=2 requested_int_ids=144
c 00h00m31s | stage:decode:done round=2 int_assignments=144
c 00h00m31s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=5 cop_cegar_rounds=11 cop_cegar_added_clauses=24074
c 00h00m31s | result:Sat
c 00h00m31s | objective:incumbent kind=improvement value=9853 rounds=6 improvements=5
o 9853
c 00h00m31s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m31s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=12 assumptions=0 phase_lits=2016
c 00h00m31s | stage:sat:solve:done round=1 ms=9 result=Sat assumptions=0 phase_lits=2016
c 00h00m31s | stage:decode:start round=1 requested_int_ids=144
c 00h00m31s | stage:relaxation:done round=1 clauses_added=4804 circuit_clauses_added=0 cop_clauses_added=4804 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=6 cop_cegar_rounds=12 cop_cegar_added_clauses=28878
c 00h00m31s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=13 assumptions=0 phase_lits=2016
c 00h00m31s | stage:sat:solve:done round=2 ms=215 result=Sat assumptions=0 phase_lits=2016
c 00h00m31s | stage:decode:start round=2 requested_int_ids=144
c 00h00m31s | stage:decode:final:start round=2 requested_int_ids=144
c 00h00m31s | stage:decode:done round=2 int_assignments=144
c 00h00m31s | stage:relaxation:done clauses_added=0 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=6 cop_cegar_rounds=13 cop_cegar_added_clauses=28878
c 00h00m31s | result:Sat
c 00h00m31s | objective:incumbent kind=improvement value=9844 rounds=7 improvements=6
o 9844
c 00h00m31s | stage:sat:init solver=CaDiCaL vars=275648 clauses=629913
c 00h00m31s | stage:sat:solve:start round=1 circuit_cegar_rounds=- cop_cegar_rounds=14 assumptions=0 phase_lits=2016
c 00h00m31s | stage:sat:solve:done round=1 ms=9 result=Sat assumptions=0 phase_lits=2016
c 00h00m31s | stage:decode:start round=1 requested_int_ids=144
c 00h00m31s | stage:relaxation:done round=1 clauses_added=4810 circuit_clauses_added=0 cop_clauses_added=4810 circuit_cegar_failures=0 circuit_cegar_rounds=0 circuit_cegar_added_clauses=0 cop_cegar_failures=7 cop_cegar_rounds=14 cop_cegar_added_clauses=33688
c 00h00m31s | stage:sat:solve:start round=2 circuit_cegar_rounds=- cop_cegar_rounds=15 assumptions=0 phase_lits=2016
c 00h00m31s | stage:sat:solve:done round=2 ms=136 result=Sat assumptions=0 phase_lits=2016
c 00h00m31s | stage:decode:start round=2 requested_int_ids=144
